Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),,PT08.S5(O3),T,RH,AH,T2,RH2,AH2,
10-03-2004,18.00.00,2,,,,6,1360,150,11,9,1046,166,1056,113,1692,1268,13,7578,
10-03-2004,19.00.00,2,1292,112,9,4,955,103,1174,3,47,,,,,,,,
10-03-2004,20.00.00,2,,,,2,1402,88,9,0,939,131,1140,114,1555,1074,11,7502,
10-03-2004,21.00.00,2,,,,2,1376,80,9,2,948,172,1092,122,1584,1203,11,7867,
10-03-2004,22.00.00,1,,,,6,1272,51,6,5,836,131,1205,116,1490,1110,11,7888,
10-03-2004,23.00.00,1,,,,2,1197,38,4,7,750,89,1337,96,1393,949,11,7848,
11-03-2004,00.00.00,1,,,,2,1185,31,3,6,690,62,1462,77,1333,733,11,7603,
11-03-2004,01.00.00,1,1136,31,3,3,672,62,1453,7,60,,,,,,,,
11-03-2004,02.00.00,0,,,,9,1094,24,2,3,609,45,1579,60,1276,620,10,7648,
11-03-2004,03.00.00,0,,,,6,1010,19,1,7,561,-200,1705,-200,1235,501,10,7517,
11-03-2004,04.00.00,-200,1011,14,1,3,527,21,1818,1,60,,,,,,,,
11-03-2004,05.00.00,0,,,,7,1066,8,1,1,512,16,1918,28,1182,422,11,7366,
11-03-2004,06.00.00,0,,,,7,1052,16,1,6,553,34,1738,48,1221,472,10,7353,
11-03-2004,07.00.00,1,,,,1,1144,29,3,2,667,98,1490,82,1339,730,10,7417,
11-03-2004,08.00.00,2,1333,64,8,0,900,174,1136,8,57,,,,,,,,
11-03-2004,09.00.00,2,,,,2,1351,87,9,5,960,129,1079,101,1583,1028,10,7691,
11-03-2004,10.00.00,1,,,,7,1233,77,6,3,827,112,1218,98,1446,860,10,7552,
11-03-2004,11.00.00,1,,,,5,1179,43,5,0,762,95,1328,92,1362,671,10,7352,
